,category,headline,authors,link,short_description,date
964,TRAVEL,4 Scams to Watch out for in Paris,"Budget Travel, Contributor
Your source for vacation inspiration, travel deals, and expert...",https://www.huffingtonpost.com/entry/4-scams-to-watch-out-for_us_5b9da6bae4b03a1dcc8ad005,"Paris, like any other city, is no stranger to petty theft. On our first night in Paris, our knowledgeable Tour Manager took us aside and told all of us to watch out for these three popular scams practiced throughout the City of Light.",2013-11-08
965,TRAVEL,Dreaming of My 2014 Travels: Germany,"Rick Steves, Contributor
Contributor",https://www.huffingtonpost.com/entry/dreaming-of-my-2014-trave_us_5b9dfc0ae4b03a1dcc8fe91f,"In May I'll give myself a little vacation. This year, I'm booked on our Best of Europe in 21 Days Tour--the same route I",2014-04-14
966,TRAVEL,The 10 Coolest Infinity Pools At Vacation Rentals (PHOTOS),Emi Boscamp,https://www.huffingtonpost.com/entry/infinity-pools-vacation_us_5b9d46cee4b03a1dcc863ac2,"There is nothing better in the world than catching some rays on the beach, sitting so close to the water you can feel the",2013-06-22
967,TRAVEL,"Palm Springs: Moguls, Mobsters and Movie Stars Launched California's Desert Playland","Bob Schulman, Contributor
Travel Editor, WatchBoom.com",https://www.huffingtonpost.com/entry/palm-springs-travel_us_5b9d29e5e4b03a1dcc850c64,"Dry air, year-round sunshine and healing mineral waters have been drawing the glitterati to Southern California's desert playland ever since the first hotel opened here in 1886.",2013-05-15
968,TRAVEL,Hotels Hire Adorable Pets As Greeters (PHOTOS),"Conde Nast Traveler, Contributor
Conde Nast Traveler",https://www.huffingtonpost.com/entry/ridiculously-cute-hotel-l_us_5b9bfc4fe4b03a1dcc7b9159,"Though most hotels don't welcome pets, that hasn't stop some from using them as greeters.",2012-07-13
969,WORLD NEWS,"Global Series: Talking Sex, Changing Cultures","The Conversation Global, ContributorThe Conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/global-series-talking-sex-changing-cultures_us_5964ece3e4b0deab7c646be0,"Catesby Holmes, The Conversation; Clea Chakraverty, The Conversation; Fabrice Rousselot, The Conversation, and Stephan Schmidt",2017-07-11
970,TRAVEL,Valentine's Day Travel: The Most Over-The-Top Hotel Packages (PHOTOS),,https://www.huffingtonpost.com/entry/valentines-day-travel-hotel-packages_us_5b9cbf91e4b03a1dcc81756b,"Ah, Valentine's Day. Whether you love it or hate it, it's an inevitability. February 14 is going to happen. Every hotel imaginable",2013-01-31
971,WORLD NEWS,Israel Supreme Court Rules Ultra-Orthodox Shouldn't Be Exempt From Military Service,"Jeffrey Heller, Reuters",https://www.huffingtonpost.com/entry/israel-supreme-court-rules-ultra-orthodox-shouldnt-be-exempt-from-military-service_us_59b93694e4b0edff97183b5f,The decision is sure to spark tensions between the country's strictly Orthodox and secular Jewish communities.,2017-09-13
972,TRAVEL,13 Reasons You Need To Visit Budapest ASAP,Suzy Strutner,https://www.huffingtonpost.com/entry/budapest-travel_us_5515bd95e4b02dc8de1d574e,"Europe is mind-blowingly cheap right now. The euro is nearly equal to the dollar (for now), and flight prices are largely",2015-03-31
973,TRAVEL,The Red Stone That Stopped the Plague,"Halle Eavelyn, Contributor
Transformational Coach, Author, Speaker, Tour Leader",https://www.huffingtonpost.com/entry/the-red-stone-that-stoppe_us_5b9d0629e4b03a1dcc83d395,"We're in Venice, Italy where tens of thousands of people died in a medieval plague, until one woman's faith stopped the distaster.",2013-04-11
974,WORLD NEWS,Venezuela's Socialist Leader Nicolas Maduro Re-Elected Amid Allegations Of Irregularities,"Luc Cohen and Andreina Aponte, Reuters",https://www.huffingtonpost.com/entry/venezuela-elections-nicolas-maduro-wins_us_5b024c69e4b0463cdba3b9c0,The State Department has already announced that the U.S. will not recognize the election result.,2018-05-21
975,TRAVEL,Upscale Hotel Deals For A California Coast Road Trip,"Travelzoo, Contributor
A global Internet media company and trusted publisher of trave...",https://www.huffingtonpost.com/entry/upscale-hotel-deals-for-a_us_5b9c6620e4b03a1dcc7e5c1b,"Here's your road map for an inn-hopping excursion all the way down the California coast, from laid-back Santa Cruz to the beach towns of Orange County -- at a savings of as much as 50% on regular prices. Mix and match as you please to create a fall or winter escape.",2012-10-15
976,TRAVEL,Retaking Our Green Wedding Vows At The Hotel Bel-Air,,https://www.huffingtonpost.comhttp://www.luxecoliving.com/luxeco-food/retaking-our-green-wedding-vows-at-the-hotel-bel-air/,"In 1984, my wedding including the location, catering, a band and floral arrangements cost $10,000. We treated 125 guests",2012-12-07
977,TRAVEL,Imagine Quitting Your Job And Traveling The World,,https://www.huffingtonpost.com/entry/quitting-your-job-to-travel-world_us_5b9d66a3e4b03a1dcc878d94,"Imagine this: One day you quit your job, pack up your things and set sail on a journey around the world. For one very adventurous",2013-08-02
978,TRAVEL,World Tourism Day Being Celebrated In Maldives,,https://www.huffingtonpost.com/entry/world-tourism-maldives_us_5b9d8ba6e4b03a1dcc895bca,"This year's theme is ""Tourism and Water: Protecting our Common Future"" held in Maldives, an island nation in the Indian Ocean",2013-09-27
979,WORLD NEWS,Incredible New Year's Celebrations Around The World,Annum Masroor,https://www.huffingtonpost.com/entry/new-years-2018-photos-around-the-world_us_5a4986ade4b0b0e5a7a78200,🎆🍾🎉🎇,2018-01-01
980,TRAVEL,22 Places In Ireland To Celebrate The Emerald Isle,Lisa_Miller,https://www.huffingtonpost.com/entry/ireland-places_us_5b9de5d6e4b03a1dcc8e579d,"The tradition of St. Patrick's Day parades actually originated in America. Instead of getting drunk on Guinness, why not",2014-03-06
981,TRAVEL,The Caribbean's Best Hotels (PHOTOS),"U.S. News Travel, Contributor
U.S. News & World Report Travel",https://www.huffingtonpost.com/entry/best-hotels-in-the-caribbean_us_5b9cc3bae4b03a1dcc81a4d5,"""As one of the only places in the world where cars and motorized vehicles are not allowed, Jumby Bay Island exudes relaxation.""",2013-01-31
982,TRAVEL,Our Favorite Overnight Trips From London To Round Out Your European Vacation (PHOTOS),"Oyster.com, Contributor
The Hotel Tell-All",https://www.huffingtonpost.com/entry/our-favorite-overnight-trips-london_us_5b9c1e91e4b03a1dcc7c71aa,"Here's a list of our top picks for overnight trips, all less than a two-hour flight from London. Start packing!",2012-08-17
983,WORLD NEWS,Two Israeli Policemen Shot Dead And Gunmen Killed Near Jerusalem's Holiest Site,"Maayan Lubell, Reuters",https://www.huffingtonpost.com/entry/attack-near-jerusalem-holiest-site_us_596863a5e4b03389bb1651cf,"It was one of the most serious attacks so close to the volatile holy site, known to Muslims as the Noble Sanctuary and to Jews as Temple Mount, in years.",2017-07-14
984,TRAVEL,The Other Japan: Past Prefect,"Dane Steele Green, Contributor
President & CEO - Steele Luxury Travel",https://www.huffingtonpost.com/entry/the-other-japan-past-prefect_us_5b9ba372e4b03a1dcc793ad7,"There are two Japans. One is the tangible, modern nation of today, the LED-spangled cities and bullet trains. The other is more ephemeral, the mystical psychological landscape of the nation's past.",2012-05-25
985,TRAVEL,Never Lose Out On A Good Deal Again With British Airways' New Fare Option,Lisa_Miller,https://www.huffingtonpost.com/entry/british-airways-fare-hold_n_5697705.html,,2014-08-21
986,TRAVEL,"Suddenly, Everybody Is Planning Trips To Brangelina's Wedding Town",Suzy Strutner,https://www.huffingtonpost.com/entry/brangelina-wedding-location_n_5772276.html,,2014-09-06
987,TRAVEL,16 Local Legends You Should Probably Pay Attention To,Suzy Strutner,https://www.huffingtonpost.com/entry/legend-has-it_us_5b9de55ee4b03a1dcc8e5116,"15. If you're looking to get in touch with the spirits, tour the Winchester Mystery House in San Jose, California. Widow",2014-03-01
988,WORLD NEWS,Church Shooting Leaves 5 Dead In Russian Region Of Dagestan: Report,,https://www.huffingtonpost.com/entry/russia-church-shooting_us_5a89c98de4b004fc31936048,The attack occurred in the village of Kizlyar in the Muslim-majority republic of Dagestan.,2018-02-18
989,TRAVEL,How To Take Your Dream Vacation Without A Guidebook Or Expensive Cell Charges,Ryan Buxton,https://www.huffingtonpost.com/entry/vacation-without-a-guidebook_n_6042084.html,,2014-10-24
990,TRAVEL,5 Strange Items You Can Pack in Your Carry-On,"U.S. News Travel, Contributor
U.S. News & World Report Travel",https://www.huffingtonpost.com/entry/5-strange-carry-on-items_us_5b9cf197e4b03a1dcc8325dd,"You'd be surprised by the types of items that make their way through airport security -- from corkscrews and screwdrivers to wrenches and lighters. What's more, the Transportation Security Administration (TSA) announced that its list of ""Prohibited Items"" will soon shrink.",2013-03-19
991,WORLD NEWS,Activists Film ‘Extreme Market’ In Indonesia To Denounce Dog Meat Trade,Josh Butler,https://www.huffingtonpost.com/entry/dog-meat-market-indonesia_us_5a67eac5e4b002283007bb21,"“It was like walking through hell,"" an animal advocate said.",2018-01-24
992,TRAVEL,Experiencing the Luxury of Dubai and Abu Dhabi,"Quia Querisma, Contributor
I'm just a nice lady who likes cocktails and traveling.",https://www.huffingtonpost.com/entry/dubai-abu-dhabi-travel_us_5b9cb26ee4b03a1dcc80f8e9,"I have to admit, when I first entertained the thought of visiting Dubai and Abu Dhabi I imagined the lost city of El Dorado, complete with streets paved with gold and sheikhs betting on camel races.",2013-01-13
993,TRAVEL,The Secret to Raising Happy Kids,"Galit Breen, Contributor
I help parents and teachers raise and teach safe, wise, and ki...",https://www.huffingtonpost.com/entry/parents-if-you-want-to-ra_us_5b9d8b53e4b03a1dcc8955f3,"When I ask my children where they want to go, I mean it. I want them to dream big and travel far. I want their answers to not match. I want them to have a Bucket List and Someday Dream. And then? I want them to go.",2013-09-26
994,TRAVEL,Ibiza's Scenic Winter Hangover (PHOTOS),"Shivya Nath, Contributor
Travel blogger at the-shooting-star.com.",https://www.huffingtonpost.com/entry/what-the-vengaboys-didnt_us_5b9cbcede4b03a1dcc815e4c,Here are seven ways to experience life on the shores of the Mediterranean Sea when Ibiza's party scene goes into hibernation.,2013-01-22
995,TRAVEL,"Jerry Meekins, Terminal Cancer Patient, Says Spirit Airlines Won't Refund Tickets (VIDEO)",,https://www.huffingtonpost.com/entry/jerry-meekins-cancer-patient-spirit-airlines-refund_us_5b9ba06de4b03a1dcc791d8e,"Spirit Airlines, which has called itself the ""most consumer-friendly airline,"" isn't the only company that has dealt with",2012-04-25
996,TRAVEL,Bargain Boozing In Rome,"Party Earth, Contributor
Contributor",https://www.huffingtonpost.com/entry/rome-cheap-bargain-drinks-bars_us_5b9c877de4b03a1dcc7f7d24,"Rome is a city of contradictions. Home to the Vatican, it's also the place where supermodels, seedy politicians and fashionistas come out to play. So it shouldn't come as a surprise that Rome boasts some of the hottest, most exclusive bars and clubs around",2012-11-20
997,TRAVEL,Dog Mushing 101 (PHOTOS),"Kirsten Dixon, Contributor
Award-winning chef, lodge owner and author",https://www.huffingtonpost.com/entry/dog-mushing-101-photos_us_5b9b4934e4b03a1dcc7653a5,"The premise of dog mushing is simple: hook a few dogs together along a rope, attach the rope to a sled, stand on the runners of the sled and hold on. The reality of dog mushing is infinitely more complex.",2012-02-07
998,TRAVEL,Rick Steves' Christmas Fundraiser Challenge,"Rick Steves, Contributor
Contributor",https://www.huffingtonpost.com/entry/rick-steves-christmas-fun_us_5b9dadeee4b03a1dcc8b5a9b,"So here's my challenge: To give this holiday season an extra punch this year, go to Rick Steves' Christmas Fundraiser Challenge",2013-11-25
999,TRAVEL,Putin Trail And 11 Other Bizarrely Named Ski Trails,Suzy Strutner,https://www.huffingtonpost.com/entry/putin-trail-big-sky-resort_us_5b9df3b5e4b03a1dcc8f64ca,"I Hear Cars At least they're honest. At Mount Hood Meadows, Oregon Conifers of Gnarnia Punny on so many levels. At Revelstoke",2014-04-01
1000,TRAVEL,"When Traveling, Don't Forget About the 'Whoops Money'","Christina Kelly, Contributor
PR Professional with a Writing Problem",https://www.huffingtonpost.com/entry/when-traveling-dont-forge_us_5b9dd48fe4b03a1dcc8d7adc,"The bottom line is, no matter how much you prepare for your trip, there will always be whoopses. In a way, our 'whoops' moments made for the funniest parts of our trip. Instead of feeling angry towards them, learn to embrace the whoops.",2014-02-03
1001,TRAVEL,This Might Be the Most Beautiful Castle in the World,"Erin Ruberry, Contributor
Writer and editor",https://www.huffingtonpost.com/entry/most-beautiful-castle-in-the-world_us_5b9da3f7e4b03a1dcc8a9f25,"After spending time in Scotland earlier this fall, I think I've found the most beautiful castle in the world.",2013-11-04
1002,TRAVEL,Hiking the Appalachian Trail,"Chuck Kellen, Contributor
Mechanical Engineer for STIHL Inc.",https://www.huffingtonpost.com/entry/hiking-the-appalachian-tr_us_5b9d47d6e4b03a1dcc864569,"I'm not sure I could ever fully describe what takes place when I take time to immerse myself in nature, but something does. Something primal, something eternal and I am very grateful that we maintain these places and all places like it. I can't wait to hit the trail again!",2013-06-24
1003,TRAVEL,Food Fights: Which Country Deserves the Credit for Some of Your Favorite Eats?,"FlipKey, Contributor
Vacation rental marketplace",https://www.huffingtonpost.com/entry/food-fights-which-country_us_5b9d9187e4b03a1dcc899adb,"When you think of pasta, you probably think of Italy. Stories have long circulated, however, implying that the Chinese are in fact responsible for the creation of this culinary delight. And while NY-style cheesecakes are the best, America ultimately can't take credit for this rich and delicate dessert.",2013-10-07
1004,TRAVEL,"American Airlines Flight Attendant Rants About Plane Crash, Grounds Flight",,https://www.huffingtonpost.com/entry/flight-attendant-rants-ab_us_5b9b6e40e4b03a1dcc777c8b,"According to a report by The Dallas Morning News: ""The flight attendant 'came on the PA system ranting about AA bankruptcy",2012-03-09
1005,TRAVEL,"President's Day: 50 States, 50 Presidential Sites (PHOTOS)","Lonely Planet, Contributor
Lonely Planet is the place to turn for every kind of trip insp...",https://www.huffingtonpost.com/entry/50-best-us-presidential-s_us_5b9b482ae4b03a1dcc7646d6,Most folks go see a movie or spend another day on the ski slopes for Presidents Day. But there's least one worthy presidential thing to do in every state of the US.,2012-02-16
1006,TRAVEL,A Look Back: The Hometowns Of Miss USA (SLIDESHOW),Lisa_Miller,https://www.huffingtonpost.com/entry/hometowns-miss-usa_us_5b9d40a6e4b03a1dcc85f7ee,The Miss USA pageant will air Sunday in Las Vegas. We decided to take a look back at the past winners -- and their hometowns,2013-06-16
1007,WORLD NEWS,Hassan Rouhani's Economic Legacy May Be His Key To Winning A Second Term,"The Conversation Global, ContributorThe Conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/hassan-rouhanis-economic-legacy-may-be-his-key-to_us_59230653e4b0e8f558bb2875,"Shahram Akbarzadeh, Deakin University Today’s presidential election in Iran had turned into a vote of confidence for President",2017-05-22
1008,TRAVEL,New England's 7 Weirdest Roadside Landmarks (PHOTOS),"Peter Mandel, Contributor
Washington Post contributor, children's book author",https://www.huffingtonpost.com/entry/new-englands-top-7-weird-landmarks_us_5b9bc6a9e4b03a1dcc7a3fe6,I've focused my picks on man-made monoliths that are enormous enough to make you grab for your camera and text message friends.,2012-06-05
1009,WORLD NEWS,Tower Of Human Skulls Casts New Light On Aztecs,,https://www.huffingtonpost.com/entry/aztecs-tower-skulls_us_5959013be4b02734df32f40f,Archaeologists have found more than 650 skulls caked in lime near the site of the Templo Mayor.,2017-07-02
1010,TRAVEL,"Hemingway, Tourism, and the Contradictions of Revolutionary Cuba","Blake Scott, ContributorHistorian, Writer, Teacher",https://www.huffingtonpost.com/entry/he-aint-my-papa-hemingway_b_5761948.html,,2014-09-10
1011,TRAVEL,"Fiji's Hidden ""Bachelorette"" Paradise","Claire Fordham, Contributor
Journalist, Author, Producer",https://www.huffingtonpost.com/entry/the-hidden-paradise-of-sa_us_5b9bf232e4b03a1dcc7b494d,"As my daughter, husband and I stepped off the plane at the tiny Savusavu airport in Fiji, the first thing I saw was a couple of cows tethered to a post.",2012-07-05
1012,WORLD NEWS,How Can We Better Protect Crowds From Terrorism?,"The Conversation US, ContributorViews from experts in academia, providing fact-based analysis ...",https://www.huffingtonpost.com/entry/how-can-we-better-protect-crowds-from-terrorism_us_59345a88e4b00573ab57a49d,"By Robert R. Friedmann, Georgia State University If it seems like every week, there’s another terrorist attack – well, you’re",2017-06-04
1013,WORLD NEWS,Iceland's Proposed Ban On Male Circumcision Alarms Religious Leaders,Dominique Mosbergen,https://www.huffingtonpost.com/entry/iceland-male-circumcision_us_5a8a8794e4b00bc49f45bf26,Backers of the proposed law say circumcision violates the rights of children. Religious leaders say it tramples their beliefs.,2018-02-19
1014,TRAVEL,Ask Airfarewatchdog: American/US Air Merger? Carry On Bags Gate Checked?,"George Hobica, Contributor
Syndicated travel writer and founder, Airfarewatchdog.com",https://www.huffingtonpost.com/entry/americanus-air-merger-car_us_5b9c537fe4b03a1dcc7dd231,"It's beginning to look like an American/US Airways merger is all but inevitable. Here's what you need to know, along with other ""Ask Airfarewatchdog"" questions -- and answers.",2012-09-26
1015,TRAVEL,10 Amazing Works Of Architecture To Visit (PHOTOS),"Trippy, Contributor
Get the best answers to your travel questions on Trippy.com",https://www.huffingtonpost.com/entry/trippycom-presents-10-ext_us_5b9c707be4b03a1dcc7ea6bf,"Whether it's intricate carving on an ancient temple or steel bended in ways you never thought possible, the complexities of architecture never cease to amaze.",2012-11-08
1016,TRAVEL,Frolicking Whales Give Kayakers The Ultimate Surprise,Suzy Strutner,https://www.huffingtonpost.com/entry/whale-kayaker-surprise_us_56127adae4b0768127028201,What a BREACH of privacy! 🐋,2015-10-05
1017,TRAVEL,Guide to the Off Season: An Infographic,"Home Away, Contributor
HomeAway.com",https://www.huffingtonpost.com/entry/off-season-traveling_us_5b9d7f64e4b03a1dcc88c5f0,Need to get away? Need to save money while doing it? Traveling off season is the perfect solution. The question isn't just where to go... but when. Check out these destination ideas and tips for timing your vacation just right.,2013-09-13
1018,TRAVEL,Wandering Along South Africa's Wild Coast (PHOTOS),"Robert Schrader, Contributor
Writer, Photographer, World Traveler",https://www.huffingtonpost.com/entry/south-africa-wild-coast_us_5b9cd5d7e4b03a1dcc8245a8,"Although the dawn of democracy has (slowly) started to integrate the Transkei with the rest of South Africa on a number of levels, the region still eludes many foreign and South African travelers.",2013-02-19
1019,TRAVEL,A Scavenger Hunt in D.C. for President Lincoln,"WHERE, Contributor
Local guides. Worldwide.",https://www.huffingtonpost.com/entry/a-scavenger-hunt-in-dc-fo_us_5b9de009e4b03a1dcc8dfdcb,"The city of Washington celebrates Lincoln's life and legacy this month and year-round with exhibitions, artifacts, souvenirs, a neoclassical memorial and even a restaurant. Where editors scout the sights.",2014-02-18
1020,TRAVEL,The World's Most Beautiful Coastal Drives,"Conde Nast Traveler, ContributorCondeNastTraveler.com",https://www.huffingtonpost.com/entry/the-worlds-most-beautiful_b_5724308.html,"After rounding up the best coastal drives in the U.S., Australia, and Ireland, you responded with your favorite ocean roads around the globe.",2014-08-27
1021,TRAVEL,This Adorable Dog Has A Very Important Hospitality Job,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/this-adorable-dog-has-a-very-important-hospitality_us_59e8e39be4b077c789918b62,"With no disrespect to the other fine people working at the Hyatt, this labrador definitely wins the prize for “Most Adorable Employee.”",2017-10-19
1022,TRAVEL,Top 4 Oktoberfests Coming To A Town Near You,"Home Away, Contributor
HomeAway.com",https://www.huffingtonpost.com/entry/top-4-oktoberfests-you-ca_us_5b9c5b48e4b03a1dcc7e0702,"Oktoberfest has been carrying on for about a month now, but beer, bratwurst and polka bands aren't out of style just yet.",2012-10-03
1023,TRAVEL,"Love Letters: New London, CT","Love Letters, Contributor
An anthology of reflections on places the world over",https://www.huffingtonpost.com/entry/love-letters-new-london-c_us_5b9df348e4b03a1dcc8f5f14,You are a destination for many and I am proud to call you my home. Keep me in mind when you need a tour guide. Renee Fournier,2014-04-02
1024,TRAVEL,Trips That Spark A Passion For Travel,"Jean Newman Glock, Contributor
Signature Travel Network",https://www.huffingtonpost.com/entry/im-addicted-and-the-gatew_us_5b9c80c7e4b03a1dcc7f3e8c,"What was your gateway addiction to travel? In talking to those who love to travel, I have found most can trace their passion to a single trip. One eye opening adventure or revelation that ignited their wanderlust.",2012-12-10
1025,TRAVEL,America's Worst-Dressed People (PHOTOS),"Travel + Leisure, Contributor
TravelandLeisure.com",https://www.huffingtonpost.com/entry/americas-worstdressed-peo_us_5b9bc1ade4b03a1dcc7a1bd0,"When it comes to dress sense, what's worse: layer upon bulky layer of long underwear and puffy coats or flashy, barely-there outfits?",2012-05-29
1026,WORLD NEWS,Fire At South Korean Hospital Claims Dozens Of Lives,"Christine Kim, Reuters",https://www.huffingtonpost.com/entry/south-korea-hospital-fire_us_5a6a98c6e4b0ddb658c50f7f,Many patients “walked though fire and smoke” to escape the blaze.,2018-01-26
1027,WORLD NEWS,Catalan Parliament Declares Independence From Spain,"Sam Edwards and Julien Toyer, Reuters",https://www.huffingtonpost.com/entry/catalan-votes-split-spain_us_59f335d6e4b07fdc5fbdac83,The Spanish government moved to impose direct rule over Catalonia less than an hour later.,2017-10-27
1028,TRAVEL,10 Things Americans Can Learn From Bangkok,,https://www.huffingtonpost.com/entry/10-things-we-can-learn-fr_us_5b9cd89be4b03a1dcc825ebf,"The Chao Phraya River winds through the heart of Bangkok, passing the ancient golden temples and brand news skyscrapers jostle",2013-02-26
1029,TRAVEL,A Few Days In Vienna,,https://www.huffingtonpost.comhttp://fathomaway.com/guides/europe/vienna/itineraries/itinerary-vienna-austria/?utm_source=hp&utm_medium=article,"Vienna is the perfect complement to itself. It is a stately, grand, and serious-looking city, full of right angles and spotless",2013-04-03
1030,TRAVEL,Awesome Spring Break Vacations That Don't Require A Passport,"Mary Rambin, Contributor
Lifestyle blogger and founder, MoreThanMary.com",https://www.huffingtonpost.com/entry/spring-break-escapes-you_us_5b9b40aae4b03a1dcc75f5e0,"Each less than two hours outside of a major city, these destinations offer gorgeous landscapes and entertain singles, couples and families for a reasonable price. I love them all just as much as my Mexican hideways!",2012-02-01
1031,TRAVEL,A Stylish Guide To Manhattan's Greenwich Village And Union Square,"The Purple Passport, Contributor
Contributor",https://www.huffingtonpost.com/entry/a-stylish-guide-to-manhattan-greenwich-village_us_5b9cf8c7e4b03a1dcc83658f,"Greenwich Village and Union Square, two adjacent New York neighborhoods in Manhattan, share the distinction of having colorful political pasts and lively cultural presents.",2013-04-01
1032,TRAVEL,Is The TSA Worth Saving (POLL)?,"Christopher Elliott, Contributor
Author, How to Be the World's Smartest Traveler (and Save Time...",https://www.huffingtonpost.com/entry/is-the-tsa-worth-saving-p_us_5b9babbee4b03a1dcc797ea6,Big changes could be coming to America's least favorite federal agency.,2012-05-07
1033,TRAVEL,6 Great Beach Bars In The Caribbean,"Fodor's, Contributor
Fodors.com",https://www.huffingtonpost.com/entry/6-best-beach-bars-in-the_us_5b9c64c0e4b03a1dcc7e51ce,"Even locals are known to hang out here, so kick up your feet and watch the sunset.",2012-10-12
1034,WORLD NEWS,Will Reelected Chancellor Merkel’s Government Defend Germany And Europe?,"Doug Bandow, ContributorContributing writer, policy analyst, one who tilts at windmills",https://www.huffingtonpost.com/entry/will-reelected-chancellor-merkels-government-defend_us_59c8b210e4b0f2df5e83afd0,Even before becoming president Donald Trump railed against the Europeans’ refusal to spend more on their own defense. Since,2017-09-25
1035,WORLD NEWS,"Angela Merkel Is Merely Being Honest With U.S., Spokesman Says",,https://www.huffingtonpost.com/entry/merkel-merely-being-honest-with-us-spokesman-says_us_592c10c8e4b0065b20b7760d,“The chancellor’s words stand on their own... It was a deeply convinced trans-Atlanticist who spoke.”,2017-05-29
1036,TRAVEL,"Thanks to the TSA, it's a Confusing Time to Fly","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",https://www.huffingtonpost.com/entry/thanks-to-the-tsa-its-a-confusing-time-to-fly_us_56ae9512e4b08589f80f7d92,"These are confusing times for airline passengers. In recent weeks, the government has made two surprising policy changes",2016-01-31
1037,TRAVEL,Nuovo in Milano: A Big Bank Shares Its Fine Art,"Rick Steves, Contributor
Contributor",https://www.huffingtonpost.com/entry/nuovo-in-milano-a-big-ban_us_5b9d4392e4b03a1dcc8611a0,The Galleria Vittorio Emanuele II was famously the first place to be illuminated with electric lights in Italy. Imagine the,2013-06-14
1038,TRAVEL,Edge of Tomorrow as Spiritual Travel Metaphor,"Halle Eavelyn, ContributorTransformational Coach & Tour Leader; Author",https://www.huffingtonpost.com/entry/edge-of-tomorrow-as-spiri_b_5493682.html,"I have come to believe, through my own spiritual lessons on my travels, that we are born each lifetime needing to ""wake up."" Once we do, our jobs are simply to grow as much as we can.",2014-06-17
1039,TRAVEL,How to Survive a Red-Eye Flight,"SmarterTravel, Contributor
Smartertravel.com",https://www.huffingtonpost.com/entry/red-eye-flight-tips_us_5b9d5e9ee4b03a1dcc8725df,"For most of us, the red-eye is synonymous with misery. Trading a bed for an airline seat is a serious comfort downgrade, but these tips can help you get through your next red-eye experience and arrive more well-rested and functional.",2013-07-22
1040,TRAVEL,Double-A 'AAwful' Flight Attendant Sued By American Airlines,"Lee Negroni, Contributor
Law prof, author, global adventure-seeker, emerging outdoorswo...",https://www.huffingtonpost.com/entry/doublea-aawful-flight-att_us_5b9b94d8e4b03a1dcc78ccc7,"American has gone and filed suit against the loud-mouthed, gender-bending, former flight attendant whose new career goal, it seems, is embarrassing the heck out of the airline.",2012-04-19
1041,TRAVEL,Born To Explore: Getting Dirty In Morocco (VIDEO),"Richard Wiese, Contributor
Host of Born to Explore",https://www.huffingtonpost.com/entry/born-to-explore-morocco_us_5b9c1f14e4b03a1dcc7c7575,"I've always felt that in order to understand people from another culture or a profession, you need to walk in their shoes. Or, in the case of the famous tanneries of Morocco, stomp barefoot in the byproducts of pigeons.",2012-08-15
1042,TRAVEL,The Best Lines From 'Airplane!' (VIDEO),,https://www.huffingtonpost.com/entry/the-best-lines-from-airplane_us_5b9c2820e4b03a1dcc7cb2b8,"There's a soft spot in our hearts for ""Airplane!"" here at HuffPost Travel. The movie, which opened July 2, 1980, is still",2012-08-17
1043,TRAVEL,Antarctica's Thrilling View Of The Universe,"Don Mankin, Contributor
The Adventure Geezer writes about adventure travel for boomers...",https://www.huffingtonpost.com/entry/touching-the-cosmos-in-an_us_5b9cf11de4b03a1dcc831f6d,"Antarctica can only be described in superlatives. The colors are more vivid, vistas more dramatic, and feelings of awe more awesome. This is not a place of man but of the gods. In Antarctica you can see things and have experiences you can't have anywhere else in the world.",2013-03-20
1044,,Why The Press Waited To Release The Names Of The London Attackers,Nick Visser,https://www.huffingtonpost.com/entry/london-attackers-media-coverage_us_59350125e4b02478cb9cd569,"“I would like to assure them and the public that this is directly assisting the progression of the investigation,"" authorities said.",2017-06-05
1045,WORLD NEWS,Marseille Van Ramming Kills 1 And Injures Another,,https://www.huffingtonpost.com/entry/van-ramming-kills-1-in-marseille_us_599acea5e4b01f6e801f9da8,Police are not treating the incident as terrorism.,2017-08-21
1046,WORLD NEWS,"Russia To Expel U.S. Diplomats, Shut Down Consulate In 'Reciprocal' Action",,https://www.huffingtonpost.com/entry/russia-expels-us-diplomats_us_5abd22c5e4b04a59a3159f1e,The move is a response to the U.S.'s expulsion of 60 Russian diplomats.,2018-03-29
1047,WORLD NEWS,Egyptian Copt Attacks: Why A ‘Religious Revolution’ In Islam Won’t Stop Violent Radicalization,"The Conversation Global, ContributorThe Conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/could-an-islamic-reformation-prevent-violent-radicalisation_us_5922e48ee4b0e8f558bb283e,"Georges Fahmi, European University Institute This article has been updated to reflect the latest developments on Egypt’s",2017-05-22
1048,WORLD NEWS,BTS Proves K-pop's Power With Spot On Time Magazine's Most Influential List,Doha Madani,https://www.huffingtonpost.com/entry/bts-k-pop-time-most-influential_us_59514b28e4b0da2c731d7dab,"K-pop is here to stay, y'all.",2017-06-26
