headline,authors,link,short_description,date,c_id
germany suspends deportation of afghan migrants after kabul attack,willa frej,https://www.huffingtonpost.com/entry/germany-deportation-afghans_us_592ebfb0e4b0c0608e8ce977,germany suspends deportation of afghan migrants after kabul attackit's a reminder of how few options are available to those seeking to escape violence and instability.,2017-05-31,0
firenze fireworks: easter explosions in florence,"paula h. noe, contributorafter italy....now what???",https://www.huffingtonpost.com/entry/firenze-fireworks-easter-_b_5220941.html,"firenze fireworks: easter explosions in florenceon pasqua/easter, springtime shone brightly here in firenze, and the whole city of florence, as it has done for at least the past 500 years, held its scoppio del carro ('explosion of the cart') in the beautiful duomo piazza.",2014-04-28,1
the best ways to use stale bread,"laura taccani, la dolce vita",https://www.huffingtonpost.com/entry/the-best-ways-to-use-stale-bread_us_57a9fc13e4b0db3be07baace,the best ways to use stale breadwe could call it the multiplication of the loaves without the fishes. thatâs because this food imbued with meaningâbread,2016-08-09,1
zihuatenejo: still mexico's best kept secret,"max gladwell, contributorthe nexus of entrepreneurship and adventure sports",https://www.huffingtonpost.com/entry/zihuatenejo-still-mexicos-best-kept-secret_b_7658188.html,"zihuatenejo: still mexico's best kept secretwhen i think of an ideal beach vacation, i think of a tropical climate with warm water, coconut palm trees, and soft sand. and when i think of great service, i think of raising a flag on my beachside palapa to signal i'm ready for another margarita and having it delivered moments later.",2015-06-25,1
3 surprises lurking in your airfare -- bet you don't know what they are,"christopher elliott, contributor
author, how to be the world's smartest traveler (and save time...",https://www.huffingtonpost.com/entry/3-surprises-lurking-in-yo_us_5b9cb0d8e4b03a1dcc80ece3,3 surprises lurking in your airfare -- bet you don't know what they areyour airline ticket isn't what it seems to be.,2013-01-07,1
best kids' cruise? disney or ncl (video),"kari astrid haugeto, contributor
entrepreneur,  storyteller, visual artist and traveler.",https://www.huffingtonpost.com/entry/best-kids-cruise-disney-o_us_5b9b9802e4b03a1dcc78e207,best kids' cruise? disney or ncl (video)disney doesn't rule the seven seas when it comes to the growing market for family cruises. there is another.,2012-04-21,1
how to survive the great indian chaos,"ketaki desai, contributor
entrepreneur, writer, dreamer",https://www.huffingtonpost.com/entry/ways-to-survive-the-great_us_5b9dd8a5e4b03a1dcc8dad48,"how to survive the great indian chaosit is important to remember that there is a lot more to india than the craziness one experiences, if one has the desire and the patience to look for it.",2014-02-07,1
can we save low-lying island nations from rising seas?,"the conversation global, contributorthe conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/can-we-save-low-lying-island-nations-from-rising-seas_us_597210aee4b0f1feb89b42dc,"can we save low-lying island nations from rising seas?christopher h lim, nanyang technological university and vincent mack, nanyang technological university though climate change",2017-07-21,0
"this airline is selling $0 tickets to dubai, cape town and seychelles",carla herreria,https://www.huffingtonpost.com/entry/qatar-airways-golden-ticket_us_5876cc0be4b03c8a02d564dc,"this airline is selling $0 tickets to dubai, cape town and seychellesthe ""treasure hunt"" lasts only an hour, so get on it now!",2017-01-12,1
saudi arabia allows girls to take physical education classes,lydia o'connor,https://www.huffingtonpost.com/entry/saudi-arabia-physical-education_us_596681e9e4b0a0c6f1e59876,saudi arabia allows girls to take physical education classescritics who say female participation in sports is immodest blocked the move for years.,2017-07-12,0
4 new cruise ships sailing in 2014,"cruiseline.com, contributor
contributor",https://www.huffingtonpost.com/entry/4-new-cruise-ships-sailing-in-2014_us_5b9dd019e4b03a1dcc8d2c82,"4 new cruise ships sailing in 2014now that the holidays are over, itâs time to start planning our 2014 vacations. if sailing on a brand new cruise ship on",2014-01-28,1
20 scary things you secretly think might happen on a plane,suzy strutner,https://www.huffingtonpost.com/entry/scary-things-on-plane_us_5b9d925ce4b03a1dcc89a898,"20 scary things you secretly think might happen on a plane2. the lavatory might run out of water (like we said, could happen), thereby forcing you to hold your pee until landing. 19",2013-10-06,1
deadly clashes erupt as venezuela holds widely boycotted election,"by alexandra ulmer and anggy polanco, reuters",https://www.huffingtonpost.com/entry/venezuela-election-clashes_us_597ec10ce4b02a8434b760a8,"deadly clashes erupt as venezuela holds widely boycotted electionauthorities said 10 people were killed in the confrontations, which made sunday one of the deadliest days since massive protests started in early april.",2017-07-31,0
prison hotels: a growing trend (photos),emi boscamp,https://www.huffingtonpost.com/entry/prison-hotels-uk_us_5b9d463de4b03a1dcc862f29,"prison hotels: a growing trend (photos)click through the slideshow below to see some of the worldâs prison-hotels: in britain, policy exchange has recently proposed",2013-06-23,1
a love letter to palm springs,"love letters, contributoran anthology of reflections on places the world over",https://www.huffingtonpost.com/entry/love-letters-palm-springs_b_5064147.html,"a love letter to palm springspalm springs, you have provided me with so much joy over the years. i have found a passion that has no limits. you have afforded me the opportunity to live my life in an area of the world rich with spirit and the appreciation of our natural surroundings. you have allowed me to follow my own path in life and find a home.",2014-04-23,1
7 of the world's best shopping destinations,"booking.com, contributora huffpost brand forum partner; the global leader in connectin...",https://www.huffingtonpost.com/entry/best-shopping-destinations_us_59fce4ade4b0d467d4c224e3,"7 of the world's best shopping destinations1. galeries lafayette, paris the iconic galeries lafayette was founded in 1912 and has been considered a must-experience",2017-11-07,1
your weekly travel zen: harbors,brittany binowski,https://www.huffingtonpost.com/entry/harbor-photos_us_5b9d6661e4b03a1dcc878942,"your weekly travel zen: harborswhere have you traveled for a moment of zen? email travel@huffingtonpost.com with your travel zen or submit below. ""this",2013-08-04,1
7 must-have apps for travel,"layla revis, contributor
vice president, oracle - head of global social media",https://www.huffingtonpost.com/entry/7-must-have-apps-for-travel_us_5b9c4ab2e4b03a1dcc7d9bf6,"7 must-have apps for travelplanning a hassle-free trip for one? you're not alone. to that end, i've rounded up seven apps that always come in handy when i'm in a new town or city and looking for fresh seafood or a ride to my cozy hotel room where i'm bound to be watching trash tv and ordering some delicious room service.",2012-09-20,1
an island-by-island guide to caribbean rum,"fodor's, contributor
fodors.com",https://www.huffingtonpost.com/entry/an-island-by-island-guide-to-caribbean-rum_us_5b9d6dc4e4b03a1dcc87e337,"an island-by-island guide to caribbean rumcall it rum, rhum, or ron; just don't call it boring. often (falsely) portrayed as uniformly saccharine, rum is one of the most diverse spirits on the planet. today, in honor of national rum month (august) and the upcoming national rum day (august 16), we're going straight to the source to get the full story. next stop, the caribbean islands.",2013-08-16,1
"on the grounds of floriade, the willowman lives in his art (photos)","olivia katrandjian, contributor
journalist and travel writer",https://www.huffingtonpost.com/entry/the-willowman-tucked-amid_us_5b9be91fe4b03a1dcc7b131e,"on the grounds of floriade, the willowman lives in his art (photos)a bearded recluse inspired by the architecture of nature, the willowman, whose real name is will beckers, works on the village by day, and sleeps inside one of his creations by night.",2012-07-03,1
my first visit to hamburg,"rick steves, contributor
contributor",https://www.huffingtonpost.com/entry/my-first-time-in-hamburg_us_5b9c0eb4e4b03a1dcc7c0ce2,"my first visit to hamburgthe red light district feels barricaded within one small block, defined by the metal modesty walls erected during hitler's rule.",2012-07-30,1
"truk lagoon, one of world's largest ship graveyards, open for adventurous divers (photos)",ryan grenoble,https://www.huffingtonpost.com/entry/truk-lagoon-ship-graveyard-chuuk_us_5b9d3874e4b03a1dcc85aa3a,"truk lagoon, one of world's largest ship graveyards, open for adventurous divers (photos)photos of the lagoon and some of its wreckage: surrounding the wreckage, at depths varying from just below the surface to",2013-06-04,1
surprises along italy's slovenian border,"stewart a. swerdlow, contributor
author, lecturer, hyperspace intuitive",https://www.huffingtonpost.com/entry/surprises-italy-slovenia_us_5b9cf3c5e4b03a1dcc833dbb,"surprises along italy's slovenian borderdespite all of the economic issues going on in europe at the moment, at least in italy and slovenia people seem to be enjoying life and eating good food and drinking excellent wines.",2013-03-21,1
"have a whale of a time in hermanus, south africa!","deevra norling, contributor
content writing | travel writing | news & journalism | copywri...",https://www.huffingtonpost.com/entry/hermanus-south-africa_us_5b9dbb86e4b03a1dcc8c2c44,"have a whale of a time in hermanus, south africa!what hermanus is most famous for is its giant guests who stop by once a year to frolic in the waters of walker bay.",2013-12-30,1
in cairo for the end of the world,"halle eavelyn, contributor
transformational coach, author, speaker, tour leader",https://www.huffingtonpost.com/entry/cairo-egypt-for-the-apocalypse_us_5b9cb3fae4b03a1dcc810628,"in cairo for the end of the worldi was in cairo on the day the world ended. well, not really, but on the day the world was supposed to end, dec. 21, 2012.",2013-01-10,1
"french people take the most days off yet feel the most deprived, and other vacation factoids",suzy strutner,https://www.huffingtonpost.com/entry/vacation-days-around-the-world_us_5b9dab43e4b03a1dcc8b274e,"french people take the most days off yet feel the most deprived, and other vacation factoidswhatâs even weirder, though, is that the people who get an entire month off feel the least satisfied: expediaâs annual vacation",2013-11-20,1
national parks showdown: the united states vs. the world,"the active times, contributor
the active times",https://www.huffingtonpost.com/entry/national-parks-showdown-t_us_5b9cff41e4b03a1dcc839f31,"national parks showdown: the united states vs. the world-megan taylor morrison, the active times click here to see more of the national parks showdown: u.s. vs. the world but the",2013-04-06,1
the ultimate walt disney world 2014 planner,"fodor's, contributor
fodors.com",https://www.huffingtonpost.com/entry/the-ultimate-walt-disney_us_5b9debaae4b03a1dcc8ec80b,the ultimate walt disney world 2014 plannerwalt disney world is one of the most popular vacation destinations on the planet for the sheer fact that it offers so much,2014-03-14,1
casinos and small changes in venice,"rick steves, contributor
contributor",https://www.huffingtonpost.com/entry/casinos-and-venice_us_5b9bbb08e4b03a1dcc79e8bf,"casinos and small changes in venicean electric readerboard in a pharmacy window ticks down with each person who moves out or dies. today's population: 58,756. yesterday, it was 58,759.",2012-05-22,1
second ship suspected of providing oil to north korea seized,"yuna park, hyunjoo jin, reuters",https://www.huffingtonpost.com/entry/second-ship-suspected-of-providing-oil-to-north-korea-seized_us_5a48fea7e4b06d1621b994b5,second ship suspected of providing oil to north korea seizedthe united nations has ramped up sanctions against the reclusive country in response to missile tests.,2017-12-31,0
10 packing questions that will save you money and suitcase space,"halle eavelyn, contributortransformational coach & tour leader; author",https://www.huffingtonpost.com/entry/10-packing-questions-that_b_5194643.html,10 packing questions that will save you money and suitcase spacewhat can i leave at home and will be more stressful if i don't?,2014-04-23,1
the best and worst of europe,"rick steves, contributor
contributor",https://www.huffingtonpost.com/entry/the-best-and-worst-of-eur_us_5b9c3681e4b03a1dcc7d2337,the best and worst of europeeurope's most scenic train ride is the glacier express across southern switzerland. the most scenic boat ride is from stockholm to helsinki.,2012-09-02,1
11 fascinating trees,"findery, contributor
findery.com",https://www.huffingtonpost.com/entry/11-fascinating-trees_us_5b9da68ce4b03a1dcc8acd09,"11 fascinating treesit's difficult to reflect on trees and not get sappy. (pun intended.) besides providing shelter, shade and fruit, the tree is a metaphor for life. here's a list of trees you'll want to know more about.",2013-11-08,1
"expat recovery room: have snow, will travel","mike dunphy, contributor
writer, editor, teacher",https://www.huffingtonpost.com/entry/expat-recovery-room-slip_us_5b9cae59e4b03a1dcc80d591,"expat recovery room: have snow, will travelperhaps it's my vermont blood, but a little inclement weather has never been a deterrent to adventure. in fact, it virtually boils when wind, snow and ice become excuses for inaction, especially when it comes to travel. cold many contract the bones, but it expands horizons.",2013-01-07,1
35 fun gifts for dads who travel,"joshua berman, contributorcolumnist for the denver post, author of colorado camping (5th...",https://www.huffingtonpost.com/entry/gifts-for-dads-who-travel_b_5470940.html,"35 fun gifts for dads who travelsometimes i'm bumbling through airport security with three daughters, diapers and pacifiers flying in all directions; sometimes i'm flying luxuriously solo, rocking my wireless office. both of these types of dad-travel require different levels of preparedness and equipment.",2014-06-11,1
eureka springs is arkansas' artsy ozark oasis,"kee kee buckley, contributor
avid road tripper, writer, filmmaker",https://www.huffingtonpost.com/entry/eureka-springs-arkansas-a_us_5b9c01cae4b03a1dcc7bb4c4,"eureka springs is arkansas' artsy ozark oasisin fact, under part of beaver lake lies the remains of the failed resort town of monte ne, which was flooded when the man-made lake was created in the 1960s.",2012-07-23,1
outrageous hidden hotel fees,"oyster.com, contributor
the hotel tell-all",https://www.huffingtonpost.com/entry/outrageous-hidden-hotel-f_us_5b9b93fae4b03a1dcc78c681,outrageous hidden hotel feeseverything from room service to resort activities can tack on additional costs to your stay -- and we dug up some hidden fees to watch out for on your next trip.,2012-04-20,1
how to eat local in asia (photos),"afar, contributor
experiential travel",https://www.huffingtonpost.com/entry/how-to-eat-local-in-asia_us_5b9c7072e4b03a1dcc7ea666,how to eat local in asia (photos)afar deputy editor jen murphy takes a culinary tour of asia's streets.,2012-10-23,1
10 hidden islands you've never heard of,"smartertravel, contributor
smartertravel.com",https://www.huffingtonpost.com/entry/10-hidden-islands-youve-n_us_5b9d7887e4b03a1dcc886767,10 hidden islands you've never heard ofgo ahead and become a castaway for a day or two. here are 10 secret places -- from the mysterious north atlantic to the warm waters of the indian ocean -- where you can completely surrender to island time.,2013-08-28,1
oddballs of the african bush,"eliza deacon, contributor
contributor",https://www.huffingtonpost.com/entry/oddballs-of-the-african-b_us_5b9b6f2be4b03a1dcc7785b8,oddballs of the african bushwe came across this elephant cow near the mara river with a bizarrely twisted tusk.,2012-03-12,1
20 reasons why south australia is the trip of a lifetime,"shivya nath, contributortravel blogger at the-shooting-star.com.",https://www.huffingtonpost.com/entry/21-reasons-why-south-australia_b_5318164.html,"20 reasons why south australia is the trip of a lifetimea team from sydney university traveled to 10,000 australian beaches, evaluating them on the colors of the water, cleanliness and privacy, and voted the virgin vivonne bay beach on south australia's kangaroo island as the best in the country.",2014-05-19,1
these holocaust survivors have an important message for the world,carol kuruvilla,https://www.huffingtonpost.com/entry/these-holocaust-survivors-have-an-important-message-for-the-world_us_5a5641f4e4b0d614e48bc6ad,"these holocaust survivors have an important message for the world""speak up and put down signs of racism, acts of hatred.â",2018-01-10,0
jews and muslims sharing abraham in hebron,"rick steves, contributor
contributor",https://www.huffingtonpost.com/entry/jews-and-muslims-sharing_us_5b9d2d4ee4b03a1dcc8537c7,"jews and muslims sharing abraham in hebronlike they pray at the western wall of their destroyed temple in jerusalem, orthodox jews pray at the foundation wall of their",2013-05-20,1
ski mountaineering: an introduction,"liftopia, contributor
largest online and mobile marketplace for lift tickets and oth...",https://www.huffingtonpost.com/entry/ski-mountaineering-an-intro_us_5b9d741fe4b03a1dcc88305a,"ski mountaineering: an introductionwhy would anyone give up the happy comforts of chairlift-assisted skiing for this gem of an experience? simple: earning your turns makes them taste better, no matter how crap the snow. skiing becomes a way of interacting with a mountain rather than just using it as a ramp.",2013-11-07,1
kindness one: a chance meeting reaffirms a traveler's faith,"leon logothetis, contributor
world traveler, adventurer, author, and tv host",https://www.huffingtonpost.com/entry/kindness-one-a-chance-mee_us_5b9d87f4e4b03a1dcc892cc0,kindness one: a chance meeting reaffirms a traveler's faitha man who walks the walk and talks the talk is rare. a man who lives his dream is a man who touches lives. money is not what buys you freedom; it is by living fully that we are connected to the inherent freedom we all possess within.,2013-09-20,1
infographic: where's the party for new year's eve?,"orbitz.com, contributorwhere to go, stay and play on your next great vacation.",https://www.huffingtonpost.com/entry/infographic-wheres-the-pa_b_6381816.html,"infographic: where's the party for new year's eve?based on orbitz booking data, we took a state-by-state look at where everyone's headed for new year's eve, and found the deck was stacked in favor of one destination above all others. plus, below, 10 can't-miss new year's eve parties and concerts in the number one city for celebrating.",2014-12-26,1
why you'll love your layover at incheon international airport,"mimsie ladner, contributor
blogger, seoul searching",https://www.huffingtonpost.com/entry/why-youll-love-your-layov_us_5b9d8b51e4b03a1dcc895525,"why you'll love your layover at incheon international airportjust the mention of the word delay, cancellation, or layover is enough to make even the most laid back traveler cringe. fortunately for those connecting in or traveling to seoul, incheon international airport is an exception.",2013-09-27,1
"10 things we love about portland, oregon (photos)","george hobica, contributor
syndicated travel writer and founder, airfarewatchdog.com",https://www.huffingtonpost.com/entry/ten-things-we-love-about_us_5b9b7d3fe4b03a1dcc7805f3,"10 things we love about portland, oregon (photos)you want to know what's even more fun than watching fred armisen make jokes about portland, oregon on your television? tuning into the actual city itself!",2012-04-08,1
"chinese scientists successfully clone 2 monkeys, could lead to human applications","ben hirschler, reuters",https://www.huffingtonpost.com/entry/china-clones-monkeys_us_5a6957dfe4b00228300941af,"chinese scientists successfully clone 2 monkeys, could lead to human applications""the technical barrier is now broken,"" a member of the team that cloned the primates said.",2018-01-25,0
29 photos that will awaken your inner explorer,"alexandra kim, contributor
product marketing manager at 500px, previously marketing at fa...",https://www.huffingtonpost.com/entry/29-photos-that-will-awake_us_5b9de81fe4b03a1dcc8e8268,"29 photos that will awaken your inner explorerif you can't visit these places yourself, here's the next best thing!",2014-03-03,1
"a determined chairman, an honest vp and a game-changing airline: a love story","zandile blay, contributor
style & culture columnist",https://www.huffingtonpost.com/entry/a-determined-chairman-an_us_5b9c0597e4b03a1dcc7bd4cb,"a determined chairman, an honest vp and a game-changing airline: a love storyit was was a love of country that inspired engineering magnate sir joseph arumemi-ikhide to, as he tells it, ""return nigeria to its rightful place, as a leading aviation market.""",2012-07-27,1
top tips for holiday travel,"travelzoo, contributor
a global internet media company and trusted publisher of trave...",https://www.huffingtonpost.com/entry/top-tips-for-holiday-trav_us_5b9d9d9ee4b03a1dcc8a48b6,"top tips for holiday traveltravelzoo's deal experts have compiled top tips for holiday travel, a collection of expert advice to help travelers alleviate the stress of, and save money on, holiday travel.",2013-10-23,1
cuba: the next destination for cruise ships,"spencer aronfeld, contributorpersonal injury lawyer; author and civil rights activist",https://www.huffingtonpost.com/entry/cruising-to-cuba_b_6965012.html,"cuba: the next destination for cruise shipsno one seems more excited about, prepared for, and capable of navigating major cruises to cuba than norwegian cruise line's newly minted ceo, frank del rio.",2015-03-30,1
the nantucket's grand opening (photos),"susan fogwell, contributor
lifestyle & travel blogger",https://www.huffingtonpost.com/entry/nantucket-opening-for-summer-2012_us_5b9bee96e4b03a1dcc7b3888,"the nantucket's grand opening (photos)when visiting nantucket, you can be part of the past and present. either way, i would say it's all about family on this island 30 miles off the coast of massachusetts.",2012-07-08,1
"is this travel ""convenience"" just another scam? (poll)","christopher elliott, contributor
author, how to be the world's smartest traveler (and save time...",https://www.huffingtonpost.com/entry/is-this-travel-convenienc_us_5b9d47b7e4b03a1dcc8643e3,"is this travel ""convenience"" just another scam? (poll)i'm almost never accused of being too neutral, but when i covered a type of foreign currency exchange that affects international travelers recently, that's exactly what happened.",2013-06-21,1
the best road trips from tampa (photos),"oyster.com, contributor
the hotel tell-all",https://www.huffingtonpost.com/entry/the-best-road-trips-from_us_5b9c2859e4b03a1dcc7cb53b,"the best road trips from tampa (photos)with average temperatures staying at a nice 75â° to 80â° fahrenheit nearly year round, it must be hard to convince tampanians to part from the big guava.",2012-08-22,1
where to find outdoor observation decks at airports,"george hobica, contributor
syndicated travel writer and founder, airfarewatchdog.com",https://www.huffingtonpost.com/entry/where-to-find-outdoor-obs_us_5b9daaa1e4b03a1dcc8b15cf,"where to find outdoor observation decks at airportswhen i was a little boy, i begged and pleaded with my dad to bring me to boston's logan airport to watch planes land, take",2013-11-17,1
business solutions can make trade more inclusive,"john danilovich, contributorsecretary general, international chamber of commerce",https://www.huffingtonpost.com/entry/business-solutions-can-make-trade-more-inclusive_us_598c324be4b0f25bdfb3222a,"business solutions can make trade more inclusiveinternational trade can be a major driver of small business growth, yet smaller companies have a distinct disadvantage when",2017-08-16,0
5 reasons to visit new orleans aside from the super bowl,"jeanenne tornatore, contributor
travel trend expert, orbitz.com senior editor",https://www.huffingtonpost.com/entry/new-orleans-super-bowl-activities_us_5b9cbf3ce4b03a1dcc8172ab,"5 reasons to visit new orleans aside from the super bowlsure, you could easily fill your trip to the super bowl with sporting events and activities all surrounding the superdome, but the game happens to be in new orleans. nola. the big easy.",2013-01-24,1
the best frequent flyer program belongs to one of the best budget airlines,suzy strutner,https://www.huffingtonpost.com/entry/the-best-frequent-flyer-program-belongs-to-one-of-the-best-budget-airlines_us_552810e5e4b0d9f8f66ba7fb,"the best frequent flyer program belongs to one of the best budget airlinessmart travelers know that beingâ a frequent flyerâ isâ aâ game changer. as a member of an airline's frequent flyer program, you'll",2015-04-13,1
prime minister saad haririâs return to lebanon: a moment of truth,"james m. dorsey, contributors. rajaratnam school of international studies, senior fellow",https://www.huffingtonpost.com/entry/prime-minister-saad-hariris-return-to-lebanon-a-moment_us_5a0bc0fce4b060fb7e59d4ae,prime minister saad haririâs return to lebanon: a moment of truththe proof will be in the pudding when prime minister saad hariri returns home in the coming days to a country in which friend,2017-11-15,0
happiness living in yellow school bus: postmark pink mountain,"michael sean comerford, contributor
journalist and writer",https://www.huffingtonpost.com/entry/happiness-living-in-yello_us_5b9d5609e4b03a1dcc86cb26,"happiness living in yellow school bus: postmark pink mountainthey aren't homeless, their home is the road, the outdoors, wherever they drive next.",2013-07-17,1
eleven ways to experience the taos 'edge',"jenny block, contributor
writer and author of ""o wow: discovering your ultimate orgasm""...",https://www.huffingtonpost.com/entry/eleven-way-to-live-in-the_us_5b9d4fc4e4b03a1dcc868b9b,"eleven ways to experience the taos 'edge'in austin, tx, you can find bumper stickers that say ""keep austin weird."" in taos, you'll find one that says, ""keep taos edgey."" spend 10 minutes there and you'll know exactly why they say that.",2013-07-01,1
the first-timer's guide to cruising in alaska,"viator, contributor
tours and activities around the world",https://www.huffingtonpost.com/entry/cruising-in-alaska_us_5b9d539ae4b03a1dcc86af98,"the first-timer's guide to cruising in alaskaalaska is sometimes thought of as america's last frontier, with the state's rugged mountains covering huge amounts of land, much of it largely untouched by humans. an alaskin cruise brings passengers alongside wildlife and glaciers with panoramic views from the ship's deck.",2013-07-23,1
fire at south korean hospital claims dozens of lives,"christine kim, reuters",https://www.huffingtonpost.com/entry/south-korea-hospital-fire_us_5a6a98c6e4b0ddb658c50f7f,fire at south korean hospital claims dozens of livesmany patients âwalked though fire and smokeâ to escape the blaze.,2018-01-26,0
un chief warns trump not to ditch iran nuclear deal,"estelle shirbon, reuters",https://www.huffingtonpost.com/entry/un-trump-iran-nuclear-deal_us_5aeabcc9e4b06748dc8fab54,"un chief warns trump not to ditch iran nuclear deal""we should not scrap it unless we have a good alternative.""",2018-05-03,0
the kurds under erdogan's tyrannical governance,"alon ben-meir, contributorsenior fellow, center for global affairs, nyu",https://www.huffingtonpost.com/entry/the-kurds-under-erdogans-tyrannical-governance_us_595cef79e4b0c85b96c66561,the kurds under erdogan's tyrannical governancetens of thousands have been killed over 40 years of bloodletting between turkish forces and the kurdistan workersâ party,2017-07-05,0
this one tip will make or break your next trip,"gina ciliberto, contributorjournalist, millennial, bucket-list blogger",https://www.huffingtonpost.com/entry/this-one-tip-can-make-or-_b_7001996.html,"this one tip will make or break your next tripit's easy for a lack of planning to result in stress. however, for us, the opposite happened. we had the advantage of traveling during low season; while some sites were closed, most lodging options, and even the roads, were empty.",2015-04-04,1
"who ruins the world? travelers? a chat with ""gringo trails"" director pegi vail (part 1 of 2)","adedana ashebir, contributor
my dad says i'm ""witty, mature, and balanced.""",https://www.huffingtonpost.com/entry/who-ruins-the-world-trave_us_5b9dee33e4b03a1dcc8ef6c4,"who ruins the world? travelers? a chat with ""gringo trails"" director pegi vail (part 1 of 2)""perhaps the time has come that guidebooks highlight newer destinations in favor of one that's overrun to allow them some breathing space.""",2014-03-18,1
7 simple tricks to beat jet lag,"thrillist, contributor
everything worth caring about in food, drink, and travel",https://www.huffingtonpost.com/entry/7-simple-tricks-to-beat-j_us_5b9deb22e4b03a1dcc8eba39,"7 simple tricks to beat jet lagno matter how seasoned you are as a traveler, no matter how tightly you can make die hard fists with your toes, no matter how many ambiens you pop pre-flight, you will get jet lag. it's science; accept it. though it can't be avoided, it can be minimized -- with these seven expert tips.",2014-03-10,1
"byblos brims with culture, history and life","magda abu-fadil, contributordirector of media unlimited in lebanon",https://www.huffingtonpost.com/entry/byblos-brims-with-culture_b_6407466.html,"byblos brims with culture, history and lifethe new world encyclopedia offers interesting background information on byblos. other publications and websites also cover its rich history. but visiting byblos is a sure way of appreciating its heritage.",2015-01-02,1
a new orleans playlist for your summer trip (listen),lisa_miller,https://www.huffingtonpost.com/entry/new-orleans-playlist_us_5b9d3fe7e4b03a1dcc85f0cb,"a new orleans playlist for your summer trip (listen)with its carefree charm and revelrous reputation, new orleans has become an american travel destination. as the birthplace",2013-06-12,1
north korea would hold talks if south korea supports peace treaty with us,"asia today, contributorasia today is a comprehensive global media group that provides...",https://www.huffingtonpost.com/entry/north-korea-would-hold-talks-if-south-korea-supports_us_5975eb9ce4b0545a5c3101a1,"north korea would hold talks if south korea supports peace treaty with usby hong soon-do, beijing correspondent, asiatoday north korea is said to be willing to hold ministerial talks with south",2017-07-25,0
virgin america's new flight route is a match made in travel heaven,landess kearns,https://www.huffingtonpost.com/entry/virgin-america-hawaii-flights_us_56393eafe4b0411d306ec80c,virgin america's new flight route is a match made in travel heavenfinally! ð,2015-11-04,1
"as rare snow blankets chile's capital, blackouts and snowball fights ensue",dominique mosbergen,https://www.huffingtonpost.com/entry/santiago-chile-snow-2017_us_596b1c8ee4b0174186280754,"as rare snow blankets chile's capital, blackouts and snowball fights ensuereportedly the heaviest snowfall in santiago since 2007, the frosty conditions caused more than 250,000 residents to lose power.",2017-07-16,0
how to get banned from an airline or hotel in 10 easy steps,carly ledbetter,https://www.huffingtonpost.com/entry/get-banned-from-airline-hotel-10-easy-steps_us_5b9de67be4b03a1dcc8e5f09,how to get banned from an airline or hotel in 10 easy stepsdon't bring snakes (or jokes) on a plane... or to your hotel when in russia (or any foreign country for that matter) it's,2014-03-03,1
the strangest towns on earth (photos),"travel + leisure, contributor
travelandleisure.com",https://www.huffingtonpost.com/entry/worlds-strangest-towns_us_5b9ccac7e4b03a1dcc81e697,"the strangest towns on earth (photos)slab city, ca, is unafraid to embrace its quirks.",2013-02-07,1
mel zuckerman loves tucson,"love letters, contributor
an anthology of reflections on places the world over",https://www.huffingtonpost.com/entry/tucson-love-letter-mel-zuckerman_us_5b9c12cee4b03a1dcc7c2558,"mel zuckerman loves tucsoni drove in from phoenix, before i-10 existed, through 110 scorched, desolate miles of not much.",2012-08-01,1
my journey home: reflections on the vietnamese diaspora,"andrew lam, contributor
author",https://www.huffingtonpost.com/entry/my-journey-home-vietnamese-diaspora_us_5b9c268ee4b03a1dcc7ca625,"my journey home: reflections on the vietnamese diasporaeight years a pbs film crew in a tv series called ""my journey home"" followed me back to vietnam, and in dalat, a small city on a high plateau full of pine trees and waterfalls and pristine lakes, they coaxed me into revisiting my childhood home. the quaint pinkish villa on top of a hill was by then abandoned, its garden overrun with elephant grass and wildflowers.",2012-08-29,1
how i became a volcano vixen: recognize when to seize opportunities in life,"sarina tomel, contributor
hr business partner; c&r self coach; speaker",https://www.huffingtonpost.com/entry/how-i-became-volcano-vixe_us_5b9df0aee4b03a1dcc8f24a2,"how i became a volcano vixen: recognize when to seize opportunities in lifejoin the c&r self movement. in life, it's about speaking up and seizing the opportunities you desire. be brave, be unstoppable",2014-03-24,1
new haven isn't just for yalies anymore,"malerie yolen-cohen, contributor
publisher, getawaymavens.com; northeast getaway expert",https://www.huffingtonpost.com/entry/new-haven-connecticut-travel_us_5b9c9203e4b03a1dcc7fe60f,"new haven isn't just for yalies anymoreask an out-of-towner about the most romantic spot in new haven, connecticut at night, and she might reply: ""at home, with the locks firmly bolted.""",2012-12-04,1
anguilla's nearly perfect beaches (video),"karen schaler, contributor
emmy award-winning screenwriter, producer, author and creator ...",https://www.huffingtonpost.com/entry/sexist-anguilla-beaches_us_5b9bd3a2e4b03a1dcc7a8eed,anguilla's nearly perfect beaches (video)anguilla's beaches are among the best in the world.,2012-06-21,1
4 vegetables you can only eat in italy,"laura taccani, la dolce vita",https://www.huffingtonpost.com/entry/4-vegetables-you-can-only-eat-in-italy_us_57740da0e4b0cc0fa13635e9,"4 vegetables you can only eat in italyfriarielli, cime di rapa, puntarelle, asparago bianco. these exotic names refer to vegetables that are practically impossible",2016-06-29,1
